Evolution parameters:
Namespace(mutation_prob=0.2, crossover_prob=0.6, population_size=20, generations_max='20', simulations_per_indiv=6, len_individual=6, food_weight=0.001, mutation_copies=3, tournament_k=7, resume_from_log=None, random_seed=True, n_best_to_return=None, debug=True)

Default simulation parameters:
>FISH_MOMENTUM_CONSTANT: 0.75
>FISH_FEAR_MOMENTUM_CONSTANT: 0.825
>ALIGNMENT_CONSTANT: 0.25
>COHESION_CONSTANT: 0.05
>SEPARATION_CONSTANT: 20
>SHARK_REPULSION_CONSTANT: 8
>FOOD_ATTRACTION_CONSTANT: 0.25
>WIDTH: 400
>HEIGHT: 400
>NUM_STEPS: 1000
>NUM_FISH: 200
>NUM_SHARKS: 1
>NUM_FOOD: 50
>FISH_SENSE_DIST: 25
>SHARK_SENSE_DIST: 100
>FISH_MAX_SPEED: 4
>SHARK_MAX_SPEED: 7
>SHARK_KILL_RADIUS: 10
>SHARK_MOMENTUM_CONSTANT: 1
>SHARK_SEARCH_CONSTANT: 2
>SHARK_HUNT_CONSTANT: 40
>FISH_DIM_ELLIPSE_X: 5
>FISH_DIM_ELLIPSE_Y: 9
>FISH_FEAR_CONSTANT: 3
>SHARK_DIM_ELLIPSE_X: 30
>SHARK_DIM_ELLIPSE_Y: 50
>SHARK_BLIND_ANGLE_DEG: 40
>WALL: 0
>LOG_FILEPATH: logs/log-default-simulation_2023-06-19_22-27-07.txt

Starting computation at 2023-06-19 22:27:09.

p [0.84639, 3.76376, 0.76655, 6.01117, 8.80699, 8.92287, ]  153.29917
p [0.30704, 0.61254, 0.57718, 2.55472, 0.00751, 9.57379, ]  154.23050
p [0.46514, 0.72933, 3.75821, 2.06860, 0.44901, 0.73841, ]  155.01583
p [0.44792, 4.89164, 0.30885, 1.68232, 0.19422, 7.21653, ]  172.39650
o [0.87671, 0.85202, 0.57327, 0.66843, 6.97979, 0.22682, ]  96.89150
o [0.87671, 0.85202, 0.57327, 0.40426, 6.97979, 0.22682, ]  102.87550
o [0.87671, 0.85202, 0.57327, 0.35868, 6.97979, 0.23079, ]  103.06583
o [0.87671, 0.85202, 0.57327, 0.22211, 8.14762, 0.22682, ]  103.20933
o [0.47466, 0.34332, 0.84334, 0.35868, 6.97979, 0.22682, ]  104.66183
o [0.51225, 0.39909, 0.52973, 0.77617, 0.06365, 0.66932, ]  105.81650
o [0.39250, 0.48146, 0.57327, 1.70598, 0.25540, 0.50088, ]  109.12967
o [0.64533, 0.44700, 0.47440, 9.62800, 4.82379, 7.53157, ]  109.27850
o [0.87671, 0.85202, 0.57327, 0.44127, 6.97979, 0.22682, ]  109.39200
o [0.84416, 0.79064, 0.96145, 0.55791, 0.19914, 0.84275, ]  109.82433
o [0.87671, 0.85202, 0.48449, 0.44617, 6.97979, 0.22682, ]  111.39767
o [0.87671, 0.85202, 0.69722, 0.91031, 6.97979, 0.43897, ]  111.68200
o [0.51225, 0.39909, 0.52973, 0.91031, 0.06168, 0.66932, ]  111.96550
o [0.87671, 0.85202, 0.44184, 5.46163, 6.97979, 8.07237, ]  112.39067
o [1.00000, 0.85202, 1.00245, 0.35868, 6.97979, 0.22682, ]  113.56767
o [0.87671, 0.34332, 0.84334, 0.35694, 6.97979, 0.22682, ]  113.70617
